scenario,building,timestep,net_kw,nsl_kw,c3_violated
ZERO (do nothing),0,0,0.0,0.85116667,0
ZERO (do nothing),0,1,0.0,0.8346,0
ZERO (do nothing),0,2,0.0,0.83816665,0
ZERO (do nothing),0,3,0.0,1.4784334,0
ZERO (do nothing),0,4,0.0,1.2562,0
ZERO (do nothing),0,5,0.0,1.8695166,0
ZERO (do nothing),0,6,0.0,0.8088167,0
ZERO (do nothing),0,7,0.0,0.6159667,0
ZERO (do nothing),0,8,0.0,0.6272333,0
ZERO (do nothing),0,9,0.0,0.61806667,0
ZERO (do nothing),0,10,0.0,0.6451333,0
ZERO (do nothing),0,11,0.0,0.7644333,0
ZERO (do nothing),0,12,0.0,1.4323,0
ZERO (do nothing),0,13,0.0,1.9018333,0
ZERO (do nothing),0,14,0.0,1.7299833,0
ZERO (do nothing),0,15,0.0,1.3914334,0
ZERO (do nothing),0,16,0.0,1.0301,0
ZERO (do nothing),0,17,0.0,1.3838167,0
ZERO (do nothing),0,18,0.0,1.0319166,0
ZERO (do nothing),0,19,0.0,3.6039834,0
ZERO (do nothing),0,20,0.0,5.0085,0
ZERO (do nothing),0,21,0.0,3.8962166,0
ZERO (do nothing),0,22,0.0,3.5570834,0
ZERO (do nothing),0,23,0.0,1.4113333,0
ZERO (do nothing),0,24,0.0,0.97941667,0
ZERO (do nothing),0,25,0.0,0.900975,0
ZERO (do nothing),0,26,0.0,0.9224333,0
ZERO (do nothing),0,27,0.0,0.91048336,0
ZERO (do nothing),0,28,0.0,1.0103,0
ZERO (do nothing),0,29,0.0,1.2976834,0
ZERO (do nothing),0,30,0.0,1.1922667,0
ZERO (do nothing),0,31,0.0,1.2234666,0
ZERO (do nothing),0,32,0.0,1.0826833,0
ZERO (do nothing),0,33,0.0,0.6676667,0
ZERO (do nothing),0,34,0.0,0.6661,0
ZERO (do nothing),0,35,0.0,0.64568335,0
ZERO (do nothing),0,36,0.0,1.1646167,0
ZERO (do nothing),0,37,0.0,1.4435834,0
ZERO (do nothing),0,38,0.0,0.86195,0
ZERO (do nothing),0,39,0.0,0.76175,0
ZERO (do nothing),0,40,0.0,2.9404666,0
ZERO (do nothing),0,41,0.0,2.4557667,0
ZERO (do nothing),0,42,0.0,5.2640166,0
ZERO (do nothing),0,43,0.0,5.1929336,0
ZERO (do nothing),0,44,0.0,3.9318833,0
ZERO (do nothing),0,45,0.0,1.89485,0
ZERO (do nothing),0,46,0.0,1.3533666,0
ZERO (do nothing),0,47,0.0,1.79045,0
ZERO (do nothing),0,48,0.0,0.96433336,0
ZERO (do nothing),0,49,0.0,0.9697833,0
ZERO (do nothing),0,50,0.0,0.98003334,0
ZERO (do nothing),0,51,0.0,0.97368336,0
ZERO (do nothing),0,52,0.0,1.41885,0
ZERO (do nothing),0,53,0.0,1.8283666,0
ZERO (do nothing),0,54,0.0,1.4670167,0
ZERO (do nothing),0,55,0.0,0.97321665,0
ZERO (do nothing),0,56,0.0,1.4841334,0
ZERO (do nothing),0,57,0.0,1.8785334,0
ZERO (do nothing),0,58,0.0,2.6247,0
ZERO (do nothing),0,59,0.0,2.3644166,0
ZERO (do nothing),0,60,0.0,1.7574,0
ZERO (do nothing),0,61,0.0,2.0072668,0
ZERO (do nothing),0,62,0.0,1.0462667,0
ZERO (do nothing),0,63,0.0,0.6874,0
ZERO (do nothing),0,64,0.0,0.66111666,0
ZERO (do nothing),0,65,0.0,2.25715,0
ZERO (do nothing),0,66,0.0,1.5694667,0
ZERO (do nothing),0,67,0.0,4.6877832,0
ZERO (do nothing),0,68,0.0,4.039583,0
ZERO (do nothing),0,69,0.0,2.9469,0
ZERO (do nothing),0,70,0.0,2.2459,0
ZERO (do nothing),0,71,0.0,0.91288334,0
ZERO (do nothing),0,72,0.0,0.83335,0
ZERO (do nothing),0,73,0.0,0.8093,0
ZERO (do nothing),0,74,0.0,0.82605,0
ZERO (do nothing),0,75,0.0,0.82056665,0
ZERO (do nothing),0,76,0.0,1.2138333,0
ZERO (do nothing),0,77,0.0,0.776,0
ZERO (do nothing),0,78,0.0,0.83126664,0
ZERO (do nothing),0,79,0.0,0.57005,0
ZERO (do nothing),0,80,0.0,0.84525,0
ZERO (do nothing),0,81,0.0,1.2543666,0
ZERO (do nothing),0,82,0.0,0.53393334,0
ZERO (do nothing),0,83,0.0,0.51738334,0
ZERO (do nothing),0,84,0.0,1.53225,0
ZERO (do nothing),0,85,0.0,1.41865,0
