non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation
10.3,2.04,2.46,0.0,0.0
7.6,2.52,1.36,0.0,0.0
11.9,0.36,2.07,0.0,0.0
7.0,1.68,1.27,0.0,0.0
10.1,0.0,1.61,0.0,0.0
13.3,1.2,2.34,0.0,0.0
11.9,8.88,2.19,0.0,0.0
18.8,19.68,4.92,0.0,0.0
13.2,12.96,2.21,0.0,28.2155
13.2,13.68,2.55,0.0,45.8566
11.9,20.88,2.76,0.0,74.4313
16.3,7.32,6.13,0.0,144.55
13.4,4.44,6.03,0.0,148.719
15.8,2.28,6.98,0.0,96.634
14.5,1.32,5.84,0.0,53.573
15.6,0.84,6.57,0.0,30.8986
12.1,2.16,4.43,0.0,9.70243
13.7,2.64,5.71,0.0,0.0
21.0,6.96,11.35,0.0,0.0
13.4,4.56,5.77,0.0,0.0
12.7,1.44,5.63,0.0,0.0
18.2,6.96,10.05,0.0,0.0
13.6,1.92,6.28,0.0,0.0
12.4,0.36,5.18,0.0,0.0
12.5,1.2,5.37,0.0,0.0
9.4,0.12,3.72,0.0,0.0
8.3,0.24,3.3,0.0,0.0
10.8,0.12,4.38,0.0,0.0
11.9,0.0,4.9,0.0,0.0
10.5,0.84,4.13,0.0,0.0
9.4,11.28,3.57,0.0,0.0
12.8,19.68,5.58,0.0,0.0
13.1,6.36,5.41,0.0,45.0112
11.0,5.4,4.44,0.0,113.45
10.4,16.08,4.7,0.0,174.733
12.7,5.28,6.25,0.0,233.711
9.4,2.64,4.43,0.0,244.996
13.9,1.32,6.63,0.0,232.412
12.1,1.2,5.46,0.0,185.682
10.5,5.4,3.65,0.0,116.802
10.7,3.84,2.71,0.0,25.4838
12.4,2.4,3.14,0.0,0.0
12.4,3.84,2.97,0.0,0.0
16.7,3.0,4.02,0.0,0.0
19.1,1.8,4.33,0.0,0.0
16.7,13.32,2.55,0.0,0.0
9.1,1.56,0.57,0.0,0.0
11.9,0.24,0.57,0.0,0.0
12.7,0.36,0.55,0.0,0.0
7.2,0.24,0.2,0.0,0.0
12.3,0.12,0.35,0.0,0.0
14.3,0.0,0.28,0.0,0.0
8.9,0.24,0.01,0.0,0.0
8.9,3.36,0.0,0.0,0.0
10.9,10.44,0.0,0.0,0.0
11.0,14.4,0.11,0.0,0.0
10.2,7.8,0.1,0.0,148.982
11.1,19.68,0.39,0.0,209.928
12.9,3.48,0.75,0.0,298.434
13.4,7.44,0.87,0.0,312.11
13.5,4.32,1.14,0.0,332.16900000000004
12.0,5.16,1.33,0.0,360.719
13.9,0.84,2.09,0.0,362.224
10.9,3.72,1.87,0.0,265.818
9.7,6.0,1.32,0.0,89.0051
16.7,0.84,1.36,0.0,0.0
14.8,7.68,1.29,0.0,0.0
15.8,4.08,1.26,0.0,0.0
15.4,1.08,0.94,0.0,0.0
14.2,0.96,0.92,0.0,0.0
15.0,2.04,0.87,0.0,0.0
12.7,0.6,0.61,0.0,0.0
7.1,0.84,0.33,0.0,0.0
7.8,1.68,0.14,0.0,0.0
13.3,5.52,0.3,0.0,0.0
13.1,0.36,0.44,0.0,0.0
11.1,0.0,0.27,0.0,0.0
9.0,0.12,0.1,0.0,0.0
11.7,1.2,0.42,0.0,0.0
15.4,9.36,0.86,0.0,0.0
14.0,4.44,1.15,0.0,167.06099999999998
13.5,12.0,1.42,0.0,239.717
13.1,22.92,1.56,0.0,274.493
13.3,17.16,2.09,0.0,254.904
17.6,3.36,4.33,0.0,276.91200000000003
18.1,2.76,5.7,0.0,247.426
10.0,4.56,3.38,0.0,205.656
16.6,2.28,6.23,0.0,115.319
12.6,2.16,3.91,0.0,19.8617
20.1,5.28,7.69,0.0,0.0
15.2,4.92,5.6,0.0,0.0
18.1,3.24,7.04,0.0,0.0
14.9,1.92,5.26,0.0,0.0
12.7,1.08,4.34,0.0,0.0
16.1,2.04,6.16,0.0,0.0
12.0,0.6,3.53,0.0,0.0
7.5,0.36,1.61,0.0,0.0
7.9,3.24,1.79,0.0,0.0
12.7,0.36,4.19,0.0,0.0
11.3,0.12,3.48,0.0,0.0
5.4,0.0,1.5,0.0,0.0
9.1,0.24,2.34,0.0,0.0
10.0,1.68,2.77,0.0,0.0
11.8,8.28,3.86,0.0,0.0
16.1,6.36,5.74,0.0,35.0533
8.7,10.32,2.79,0.0,83.3007
12.3,29.64,5.28,0.0,133.474
7.6,7.32,4.24,0.0,161.289
14.6,17.88,9.28,0.0,205.484
15.0,0.96,11.24,0.0,208.856
16.4,1.08,15.25,0.0,162.253
15.7,3.84,15.92,0.0,119.52
11.9,1.2,11.04,0.0,23.3456
14.4,9.72,12.12,0.0,0.0
13.0,6.12,9.33,0.0,0.0
16.2,1.68,10.35,0.0,0.0
14.5,2.28,5.98,0.0,0.0
15.1,5.16,4.61,0.0,0.0
16.3,1.44,4.02,0.0,0.0
11.5,1.92,1.21,0.0,0.0
14.7,3.12,1.31,0.0,0.0
10.3,2.16,0.45,0.0,0.0
11.4,0.48,0.2,0.0,0.0
7.7,0.0,0.0,0.0,0.0
8.1,0.12,0.0,0.0,0.0
9.6,1.56,0.0,0.0,0.0
12.9,0.96,0.0,0.0,0.0
13.9,11.4,0.03,0.0,0.0
11.2,9.84,0.0,0.0,94.531
13.6,13.8,0.1,0.0,180.835
13.2,12.48,0.21,0.0,242.911
13.1,9.84,0.35,0.0,319.648
16.2,8.52,0.78,0.0,316.014
16.7,1.08,0.88,0.0,295.067
15.1,0.6,0.71,0.0,234.592
15.2,1.92,0.71,0.0,142.415
12.6,2.64,0.27,0.0,39.7412
15.8,8.28,0.28,0.0,0.0
16.4,4.44,0.48,0.0,0.0
18.9,2.16,0.5,0.0,0.0
18.8,2.88,0.31,0.0,0.0
13.1,2.28,0.04,0.0,0.0
15.5,1.08,0.07,0.0,0.0
13.8,4.32,0.0,0.0,0.0
7.8,1.56,0.0,0.0,0.0
11.2,0.48,0.0,0.0,0.0
9.7,0.12,0.0,0.0,0.0
8.0,3.36,0.0,0.0,0.0
11.1,0.12,0.0,0.0,0.0
11.8,1.08,0.0,0.0,0.0
13.4,4.32,0.0,0.0,0.0
13.1,24.72,0.0,0.0,0.0
15.0,7.8,0.0,0.0,166.44799999999998
9.3,5.64,0.0,0.0,240.656
16.7,16.92,0.25,0.0,277.92
10.4,6.24,0.14,0.0,283.128
8.3,5.64,0.15,0.0,364.434
11.2,6.24,0.58,0.0,388.746
15.0,3.48,1.25,0.0,386.071
12.9,6.24,1.15,0.0,271.03700000000003
12.4,7.8,0.98,0.0,110.073
13.0,3.6,0.58,0.0,11.1155
14.3,0.72,0.53,0.0,0.0
17.4,2.4,0.69,0.0,0.0
18.2,3.24,0.7,0.0,0.0
20.1,1.44,0.68,0.0,0.0
16.3,4.2,0.41,0.0,0.0
11.3,2.16,0.06,0.0,0.0
15.1,0.48,0.15,0.0,0.0
8.7,3.48,0.0,0.0,0.0
9.1,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0
6.8,0.0,0.0,0.0,0.0
9.9,0.72,0.0,0.0,0.0
15.4,1.32,0.0,0.0,0.0
14.4,15.84,0.31,0.0,0.0
10.9,11.76,0.31,0.0,200.418
11.6,20.88,0.64,0.0,320.081
14.1,8.64,1.27,0.0,426.219
14.5,22.2,1.79,0.0,500.591
12.0,9.24,1.82,0.0,501.666
15.1,2.88,3.57,0.0,451.27
11.8,0.48,2.9,0.0,362.457
12.8,0.96,3.07,0.0,245.231
10.8,1.44,1.91,0.0,91.2449
14.3,2.52,1.93,0.0,7.0029
19.2,5.76,3.78,0.0,0.0
15.2,2.16,2.14,0.0,0.0
17.6,1.32,2.59,0.0,0.0
21.7,5.04,4.22,0.0,0.0
16.6,0.84,2.2,0.0,0.0
14.7,1.44,1.33,0.0,0.0
12.1,0.84,0.97,0.0,0.0
9.4,0.12,0.74,0.0,0.0
11.7,0.12,0.76,0.0,0.0
11.4,0.0,0.81,0.0,0.0
12.5,0.0,0.78,0.0,0.0
12.8,1.32,0.66,0.0,0.0
14.1,6.6,0.84,0.0,0.0
12.8,25.56,1.16,0.0,0.0
15.5,14.52,2.13,0.0,167.68900000000002
12.4,10.56,2.93,0.0,288.769
17.9,21.12,6.9,0.0,391.802
16.5,9.96,7.92,0.0,448.004
13.3,18.36,7.84,0.0,439.261
16.9,8.04,10.48,0.0,352.374
11.0,0.48,7.34,0.0,269.528
12.3,1.2,7.75,0.0,130.529
14.5,2.16,8.41,0.0,33.8496
13.8,1.56,7.8,0.0,0.0
12.9,3.12,7.52,0.0,0.0
11.5,2.04,6.06,0.0,0.0
13.0,3.0,6.44,0.0,0.0
14.6,2.76,6.87,0.0,0.0
17.4,0.24,8.11,0.0,0.0
14.8,0.72,5.92,0.0,0.0
9.3,0.0,2.76,0.0,0.0
13.3,0.48,4.06,0.0,0.0
9.6,0.36,2.46,0.0,0.0
12.9,0.12,3.88,0.0,0.0
11.7,0.24,3.33,0.0,0.0
11.8,2.52,3.48,0.0,0.0
11.8,13.08,3.27,0.0,0.0
13.0,14.52,3.79,0.0,0.0
14.5,11.64,4.42,0.0,27.818
11.1,7.2,3.34,0.0,56.07899999999999
15.2,2.16,6.38,0.0,97.5963
17.0,16.44,8.48,0.0,140.04
17.4,9.24,9.81,0.0,142.52
13.5,9.36,8.53,0.0,137.034
13.1,1.32,9.13,0.0,96.0527
13.4,3.36,9.44,0.0,38.9878
13.4,8.64,9.69,0.0,13.4343
10.5,3.36,8.12,0.0,0.0
19.5,1.08,18.66,0.0,0.0
15.4,0.48,13.25,0.0,0.0
19.3,0.84,18.75,0.0,0.0
15.1,2.04,14.28,0.0,0.0
18.9,0.84,21.33,0.0,0.0
19.3,2.52,22.46,0.0,0.0
10.3,0.12,10.25,0.0,0.0
9.5,0.24,10.58,0.0,0.0
11.8,0.12,13.99,0.0,0.0
7.3,0.12,9.36,0.0,0.0
12.1,0.0,15.42,0.0,0.0
14.4,0.48,20.15,0.0,0.0
12.2,10.08,16.53,0.0,0.0
8.7,16.92,11.45,0.0,0.0
10.6,11.28,13.98,0.0,82.4008
8.9,19.56,14.56,0.0,191.76
10.9,16.56,20.58,0.0,301.812
11.2,5.16,23.81,0.0,389.392
12.3,12.12,26.49,0.0,423.52
15.0,3.72,29.65,0.0,420.11800000000005
12.4,5.04,24.4,0.0,349.641
10.3,3.48,19.67,0.0,256.485
13.0,1.56,19.5,0.0,110.496
14.2,6.36,16.49,0.0,7.6067
13.3,6.12,13.76,0.0,0.0
19.9,4.44,17.92,0.0,0.0
20.2,1.44,16.31,0.0,0.0
15.4,0.6,10.3,0.0,0.0
16.3,0.84,8.18,0.0,0.0
14.3,0.6,5.7,0.0,0.0
9.3,0.84,2.6,0.0,0.0
14.5,1.44,3.36,0.0,0.0
10.5,1.08,1.4,0.0,0.0
11.1,0.12,1.5,0.0,0.0
9.6,0.12,1.01,0.0,0.0
9.9,0.48,0.83,0.0,0.0
9.9,3.0,0.9,0.0,0.0
13.2,6.24,1.8,0.0,0.0
12.3,4.92,3.87,0.0,189.159
8.7,10.32,5.89,0.0,355.31699999999995
9.7,13.68,7.88,0.0,480.298
12.3,7.2,10.29,0.0,514.914
11.7,8.16,11.44,0.0,513.373
13.2,1.2,13.3,0.0,461.385
12.2,2.64,12.76,0.0,347.957
14.0,7.08,14.25,0.0,236.652
11.4,3.24,10.27,0.0,90.6711
15.6,8.4,12.17,0.0,7.18555
14.7,1.2,10.61,0.0,0.0
13.3,0.48,8.03,0.0,0.0
19.6,2.04,12.38,0.0,0.0
14.5,0.72,7.52,0.0,0.0
17.7,3.48,8.76,0.0,0.0
16.4,2.52,7.83,0.0,0.0
10.7,1.2,4.76,0.0,0.0
14.0,2.52,6.68,0.0,0.0
9.8,0.12,4.62,0.0,0.0
13.0,0.12,6.17,0.0,0.0
14.7,0.12,6.7,0.0,0.0
13.4,2.52,6.23,0.0,0.0
11.1,2.64,4.97,0.0,0.0
14.1,13.92,7.3,0.0,0.0
11.3,13.08,5.92,0.0,27.9074
13.9,7.32,8.33,0.0,47.6846
11.5,8.76,7.1,0.0,78.1288
13.6,3.6,9.34,0.0,103.577
12.4,3.0,8.8,0.0,102.478
14.8,2.16,11.88,0.0,109.48
9.6,1.44,7.55,0.0,82.69200000000001
11.7,4.44,9.66,0.0,43.0444
14.7,2.28,13.12,0.0,14.1742
12.2,1.2,11.44,0.0,0.0
16.9,0.96,18.36,0.0,0.0
18.4,2.16,19.7,0.0,0.0
17.3,3.0,15.99,0.0,0.0
22.8,1.68,21.89,0.0,0.0
15.5,2.04,11.36,0.0,0.0
14.0,0.24,8.59,0.0,0.0
11.1,1.2,5.07,0.0,0.0
8.7,0.36,2.95,0.0,0.0
8.6,0.0,2.31,0.0,0.0
12.6,3.48,3.3,0.0,0.0
8.4,0.12,1.54,0.0,0.0
7.0,1.56,1.11,0.0,0.0
9.6,6.72,1.28,0.0,0.0
11.3,25.2,2.69,0.0,0.0
12.0,7.08,4.35,0.0,181.422
16.5,5.4,7.76,0.0,301.843
13.4,13.68,7.9,0.0,375.35
14.9,11.16,10.72,0.0,436.956
10.9,1.92,10.17,0.0,494.81
13.7,8.88,13.98,0.0,442.125
9.6,0.48,12.67,0.0,408.133
10.8,0.72,15.79,0.0,348.76300000000003
10.2,16.08,13.53,0.0,178.138
16.4,0.48,14.6,0.0,22.1951
12.7,3.12,10.15,0.0,0.0
15.3,2.64,10.45,0.0,0.0
17.2,1.68,10.17,0.0,0.0
18.2,5.88,9.77,0.0,0.0
17.7,2.76,7.75,0.0,0.0
10.9,0.72,2.92,0.0,0.0
9.8,0.36,1.99,0.0,0.0
8.1,2.28,1.29,0.0,0.0
11.0,0.36,1.48,0.0,0.0
6.6,1.92,0.95,0.0,0.0
11.2,0.0,1.45,0.0,0.0
11.6,0.72,1.39,0.0,0.0
12.9,5.16,1.62,0.0,0.0
13.3,13.2,1.89,0.0,0.0
13.3,15.48,2.41,0.0,145.825
8.4,15.6,1.87,0.0,274.801
5.2,20.76,1.71,0.0,404.569
13.1,16.2,5.59,0.0,494.847
15.1,5.28,7.59,0.0,564.1619999999999
13.3,0.24,7.4,0.0,545.298
13.9,1.08,8.46,0.0,446.172
9.5,0.96,7.4,0.0,415.05
10.7,2.88,6.7,0.0,217.021
11.7,3.48,4.31,0.0,40.5504
14.5,5.04,5.01,0.0,0.0
13.7,3.24,3.8,0.0,0.0
16.1,0.96,4.21,0.0,0.0
20.8,15.24,5.38,0.0,0.0
16.3,4.32,2.95,0.0,0.0
11.0,0.24,1.22,0.0,0.0
9.3,0.6,0.82,0.0,0.0
8.1,1.8,0.53,0.0,0.0
14.8,0.0,0.91,0.0,0.0
14.1,1.68,0.75,0.0,0.0
7.9,0.24,0.25,0.0,0.0
13.8,0.72,0.63,0.0,0.0
12.1,5.64,0.43,0.0,0.0
13.3,21.36,1.12,0.0,0.0
13.4,9.48,2.81,0.0,259.23400000000004
14.2,12.0,5.46,0.0,462.229
11.3,11.64,6.5,0.0,614.3580000000001
11.1,8.64,8.0,0.0,700.092
11.6,6.48,10.3,0.0,727.5369999999999
14.1,2.4,13.85,0.0,706.4939999999999
10.3,0.84,13.04,0.0,608.12
10.6,2.76,13.12,0.0,451.889
10.9,2.16,11.73,0.0,225.583
8.3,1.92,5.69,0.0,50.6496
13.8,1.92,7.46,0.0,0.0
15.4,1.8,7.63,0.0,0.0
17.9,4.2,8.22,0.0,0.0
12.4,2.76,4.65,0.0,0.0
14.0,0.36,4.72,0.0,0.0
9.3,0.6,2.35,0.0,0.0
13.2,0.6,3.55,0.0,0.0
9.0,1.08,2.06,0.0,0.0
8.4,0.24,1.7,0.0,0.0
11.6,0.12,2.61,0.0,0.0
6.8,0.24,1.42,0.0,0.0
15.2,1.08,3.58,0.0,0.0
12.7,8.88,2.26,0.0,0.0
9.6,9.12,1.73,0.0,0.0
17.9,9.84,5.71,0.0,126.407
12.2,15.12,4.81,0.0,259.66200000000003
16.5,6.12,7.85,0.0,356.744
12.7,6.12,7.09,0.0,432.737
13.6,1.68,8.57,0.0,453.391
13.6,9.84,10.29,0.0,458.542
11.8,0.72,10.08,0.0,439.101
10.9,2.28,9.5,0.0,313.35200000000003
10.2,3.12,7.41,0.0,141.297
16.2,2.16,8.38,0.0,18.6361
14.3,2.28,6.25,0.0,0.0
16.1,1.56,6.02,0.0,0.0
20.0,1.8,7.45,0.0,0.0
11.5,1.2,2.98,0.0,0.0
13.3,1.56,3.18,0.0,0.0
19.5,0.6,5.32,0.0,0.0
