electricity_pricing,electricity_pricing_predicted_1,electricity_pricing_predicted_2,electricity_pricing_predicted_3
0.1646399999999999,0.15015,0.13901,0.1539499999999999
0.1574799999999999,0.15015,0.14513,0.15643
0.15333,0.148,0.14065,0.15181
0.15015,0.15015,0.14478,0.145
0.14802,0.14513,0.14201,0.14478
0.14739,0.1249899999999999,0.14013,0.14965
0.15015,0.13901,0.14739,0.15333
0.15015,0.14513,0.148,0.15443
0.148,0.14065,0.15333,0.15262
0.15015,0.14478,0.15943,0.15181
0.14513,0.14201,0.16509,0.147
0.1249899999999999,0.14013,0.165,0.13
0.13901,0.14739,0.1539499999999999,0.129
0.14513,0.148,0.15643,0.13107
0.14065,0.15333,0.15181,0.14
0.14478,0.15943,0.145,0.1466299999999999
0.14201,0.16509,0.14478,0.1471299999999999
0.14013,0.165,0.14965,0.14739
0.14739,0.1539499999999999,0.15333,0.14965
0.148,0.15643,0.15443,0.15213
0.15333,0.15181,0.15262,0.16157
0.15943,0.145,0.15181,0.17
0.16509,0.14478,0.147,0.18
0.165,0.14965,0.13,0.175
0.1539499999999999,0.15333,0.129,0.16463
0.15643,0.15443,0.13107,0.16967
0.15181,0.15262,0.14,0.161
0.145,0.15181,0.1466299999999999,0.15315
0.14478,0.147,0.1471299999999999,0.147
0.14965,0.13,0.14739,0.14456
0.15333,0.129,0.14965,0.14901
0.15443,0.13107,0.15213,0.155
0.15262,0.14,0.16157,0.16206
0.15181,0.1466299999999999,0.17,0.16206
0.147,0.1471299999999999,0.18,0.15115
0.13,0.14739,0.175,0.132
0.129,0.14965,0.16463,0.12765
0.13107,0.15213,0.16967,0.13366
0.14,0.16157,0.161,0.12765
0.1466299999999999,0.17,0.15315,0.129
0.1471299999999999,0.18,0.147,0.126
0.14739,0.175,0.14456,0.126
0.14965,0.16463,0.14901,0.129
0.15213,0.16967,0.155,0.13104
0.16157,0.161,0.16206,0.15156
0.17,0.15315,0.16206,0.168
0.18,0.147,0.15115,0.176
0.175,0.14456,0.132,0.17223
0.16463,0.14901,0.12765,0.1639499999999999
0.16967,0.155,0.13366,0.17
0.161,0.16206,0.12765,0.1609199999999999
0.15315,0.16206,0.129,0.1523
0.147,0.15115,0.126,0.144
0.14456,0.132,0.126,0.14
0.14901,0.12765,0.129,0.14895
0.155,0.13366,0.13104,0.15
0.16206,0.12765,0.15156,0.16
0.16206,0.129,0.168,0.16
0.15115,0.126,0.176,0.15
0.132,0.126,0.17223,0.14709
0.12765,0.129,0.1639499999999999,0.14709
0.13366,0.13104,0.17,0.14709
0.12765,0.15156,0.1609199999999999,0.1455
0.129,0.168,0.1523,0.13601
0.126,0.176,0.144,0.13
0.126,0.17223,0.14,0.125
0.129,0.1639499999999999,0.14895,0.125
0.13104,0.17,0.15,0.1249899999999999
0.15156,0.1609199999999999,0.16,0.14
0.168,0.1523,0.16,0.1550099999999999
0.176,0.144,0.15,0.16501
0.17223,0.14,0.14709,0.1619499999999999
0.1639499999999999,0.14895,0.14709,0.1477
0.17,0.15,0.14709,0.1550099999999999
0.1609199999999999,0.16,0.1455,0.1281
0.1523,0.16,0.13601,0.1224
0.144,0.15,0.13,0.1202999999999999
0.14,0.14709,0.125,0.1202999999999999
0.14895,0.14709,0.125,0.1222999999999999
0.15,0.14709,0.1249899999999999,0.125
0.16,0.1455,0.14,0.13365
0.16,0.13601,0.1550099999999999,0.1319
0.15,0.13,0.16501,0.133
0.14709,0.125,0.1619499999999999,0.124
0.14709,0.125,0.1477,0.1224
0.14709,0.1249899999999999,0.1550099999999999,0.127
0.1455,0.14,0.1281,0.13501
0.13601,0.1550099999999999,0.1224,0.12843
0.13,0.16501,0.1202999999999999,0.1261
0.125,0.1619499999999999,0.1202999999999999,0.124
0.125,0.1477,0.1222999999999999,0.1261
0.1249899999999999,0.1550099999999999,0.125,0.14257
0.14,0.1281,0.13365,0.15
0.1550099999999999,0.1224,0.1319,0.16011
0.16501,0.1202999999999999,0.133,0.164
0.1619499999999999,0.1202999999999999,0.124,0.164
0.1477,0.1222999999999999,0.1224,0.16011
0.1550099999999999,0.125,0.127,0.16293
0.1281,0.13365,0.13501,0.16293
0.1224,0.1319,0.12843,0.155
0.1202999999999999,0.133,0.1261,0.155
0.1202999999999999,0.124,0.124,0.13801
0.1222999999999999,0.1224,0.1261,0.1401
0.125,0.127,0.14257,0.1480999999999999
0.13365,0.13501,0.15,0.155
0.1319,0.12843,0.16011,0.155
0.133,0.1261,0.164,0.129
0.124,0.124,0.164,0.12192
0.1224,0.1261,0.16011,0.12192
0.127,0.14257,0.16293,0.12192
0.13501,0.15,0.16293,0.12569
0.12843,0.16011,0.155,0.12192
0.1261,0.164,0.155,0.12192
0.124,0.164,0.13801,0.12192
0.1261,0.16011,0.1401,0.12192
0.14257,0.16293,0.1480999999999999,0.13355
0.15,0.16293,0.155,0.16
0.16011,0.155,0.155,0.1677
0.164,0.155,0.129,0.18
0.164,0.13801,0.12192,0.17486
0.16011,0.1401,0.12192,0.1677
0.16293,0.1480999999999999,0.12192,0.1639499999999999
0.16293,0.155,0.12569,0.163
0.155,0.155,0.12192,0.14601
0.155,0.129,0.12192,0.1351
0.13801,0.12192,0.12192,0.1417
0.1401,0.12192,0.12192,0.1519
0.1480999999999999,0.12192,0.13355,0.151
0.155,0.12569,0.16,0.1635
0.155,0.12192,0.1677,0.1635
0.129,0.12192,0.18,0.16615
0.12192,0.12192,0.17486,0.1676399999999999
0.12192,0.12192,0.1677,0.17
0.12192,0.13355,0.1639499999999999,0.115
0.12569,0.16,0.163,0.115
0.12192,0.1677,0.14601,0.1130999999999999
0.12192,0.18,0.1351,0.10958
0.12192,0.17486,0.1417,0.10359
0.12192,0.1677,0.1519,0.1104599999999999
0.13355,0.1639499999999999,0.151,0.1130999999999999
0.16,0.163,0.1635,0.12028
0.1677,0.14601,0.1635,0.1639499999999999
0.18,0.1351,0.16615,0.17081
0.17486,0.1417,0.1676399999999999,0.175
0.1677,0.1519,0.17,0.17
0.1639499999999999,0.151,0.115,0.16344
0.163,0.1635,0.115,0.1575
0.14601,0.1635,0.1130999999999999,0.142
0.1351,0.16615,0.10958,0.13
0.1417,0.1676399999999999,0.10359,0.13
0.1519,0.17,0.1104599999999999,0.14
0.151,0.115,0.1130999999999999,0.15264
0.1635,0.115,0.12028,0.15335
0.1635,0.1130999999999999,0.1639499999999999,0.16293
0.16615,0.10958,0.17081,0.15246
0.1676399999999999,0.10359,0.175,0.13783
0.17,0.1104599999999999,0.17,0.13505
0.115,0.1130999999999999,0.16344,0.14328
0.115,0.12028,0.1575,0.14395
